Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Expansion+Mat120,Expansion+Mat80,1,71,30.867,23.688
2,Expansion+Mat80,Expansion+Mat120,1,71,30.509,22.909
3,Expansion+Mat120,Expansion+Mat80,1,71,30.493,23.523
4,Expansion+Mat80,Expansion+Mat120,1,71,30.836,22.998
5,Expansion+Mat120,Expansion+Mat80,1,71,30.425,23.439
6,Expansion+Mat80,Expansion+Mat120,1,71,30.590,22.891
7,Expansion+Mat120,Expansion+Mat80,1,71,30.802,23.451
8,Expansion+Mat80,Expansion+Mat120,1,71,30.558,23.124
9,Expansion+Mat120,Expansion+Mat80,1,71,30.950,23.583
10,Expansion+Mat80,Expansion+Mat120,1,71,30.772,23.108
1,Expansion+Mat120,Hybrid,1,63,21.244,16.906
2,Hybrid,Expansion+Mat120,2,60,26.355,19.776
3,Expansion+Mat120,Hybrid,1,63,21.227,17.193
4,Hybrid,Expansion+Mat120,2,60,26.505,19.678
5,Expansion+Mat120,Hybrid,1,63,21.505,17.306
6,Hybrid,Expansion+Mat120,2,60,25.911,19.431
7,Expansion+Mat120,Hybrid,1,63,21.483,17.170
8,Hybrid,Expansion+Mat120,2,60,25.813,19.460
9,Expansion+Mat120,Hybrid,1,63,21.264,17.062
10,Hybrid,Expansion+Mat120,2,60,26.241,19.673
1,Expansion+Mat120,Material,1,200,28.822,2.881
2,Material,Expansion+Mat120,1,200,8.394,3.530
3,Expansion+Mat120,Material,1,200,29.129,2.944
4,Material,Expansion+Mat120,1,200,8.396,3.546
5,Expansion+Mat120,Material,1,200,29.165,2.883
6,Material,Expansion+Mat120,1,200,8.435,3.729
7,Expansion+Mat120,Material,1,200,29.246,2.891
8,Material,Expansion+Mat120,1,200,8.471,3.603
9,Expansion+Mat120,Material,1,200,28.753,2.798
10,Material,Expansion+Mat120,1,200,8.620,3.634
1,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.833,23.533
2,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,30.756,22.707
3,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.686,23.138
4,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,30.911,22.996
5,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.547,23.280
6,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,31.006,22.702
7,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.836,23.038
8,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,30.852,22.953
9,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.760,23.089
10,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,31.148,22.748
1,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,30.599,23.331
2,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,30.861,22.897
3,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,30.591,23.307
4,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,30.909,23.109
5,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,30.760,23.103
6,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,30.917,22.837
7,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,30.575,23.027
8,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.304,22.994
9,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,30.610,23.227
10,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.036,22.977
1,Expansion+Mat120,Hybrid+Mat100,1,63,17.834,13.735
2,Hybrid+Mat100,Expansion+Mat120,1,200,25.877,6.901
3,Expansion+Mat120,Hybrid+Mat100,1,63,17.768,13.629
4,Hybrid+Mat100,Expansion+Mat120,1,200,25.964,6.826
5,Expansion+Mat120,Hybrid+Mat100,1,63,17.758,13.660
6,Hybrid+Mat100,Expansion+Mat120,1,200,25.999,6.917
7,Expansion+Mat120,Hybrid+Mat100,1,63,17.803,13.821
8,Hybrid+Mat100,Expansion+Mat120,1,200,26.024,6.869
9,Expansion+Mat120,Hybrid+Mat100,1,63,17.955,13.749
10,Hybrid+Mat100,Expansion+Mat120,1,200,26.043,6.800
1,Expansion+Mat120,Material+Mat100,1,200,29.110,2.919
2,Material+Mat100,Expansion+Mat120,1,200,8.516,3.531
3,Expansion+Mat120,Material+Mat100,1,200,29.276,2.917
4,Material+Mat100,Expansion+Mat120,1,200,8.545,3.545
5,Expansion+Mat120,Material+Mat100,1,200,28.693,2.863
6,Material+Mat100,Expansion+Mat120,1,200,8.749,3.619
7,Expansion+Mat120,Material+Mat100,1,200,28.747,2.864
8,Material+Mat100,Expansion+Mat120,1,200,8.909,3.747
9,Expansion+Mat120,Material+Mat100,1,200,28.807,2.872
10,Material+Mat100,Expansion+Mat120,1,200,8.571,3.527
1,Expansion+Mat80,Hybrid,1,63,21.554,17.464
2,Hybrid,Expansion+Mat80,2,60,26.368,19.444
3,Expansion+Mat80,Hybrid,1,63,21.423,16.926
4,Hybrid,Expansion+Mat80,2,60,26.118,19.561
5,Expansion+Mat80,Hybrid,1,63,21.405,17.012
6,Hybrid,Expansion+Mat80,2,60,26.188,19.391
7,Expansion+Mat80,Hybrid,1,63,21.655,17.236
8,Hybrid,Expansion+Mat80,2,60,25.932,19.144
9,Expansion+Mat80,Hybrid,1,63,21.729,17.211
10,Hybrid,Expansion+Mat80,2,60,25.810,19.199
1,Expansion+Mat80,Material,1,200,29.683,2.915
2,Material,Expansion+Mat80,1,200,8.358,3.597
3,Expansion+Mat80,Material,1,200,29.431,2.845
4,Material,Expansion+Mat80,1,200,8.364,3.589
5,Expansion+Mat80,Material,1,200,28.937,3.072
6,Material,Expansion+Mat80,1,200,8.582,3.597
7,Expansion+Mat80,Material,1,200,28.950,2.801
8,Material,Expansion+Mat80,1,200,8.469,3.626
9,Expansion+Mat80,Material,1,200,28.884,2.835
10,Material,Expansion+Mat80,1,200,8.469,3.599
1,Expansion+Mat80,Expansion+Mat120+Mat100,1,71,30.837,23.157
2,Expansion+Mat120+Mat100,Expansion+Mat80,1,71,30.988,23.746
3,Expansion+Mat80,Expansion+Mat120+Mat100,1,71,30.785,23.145
4,Expansion+Mat120+Mat100,Expansion+Mat80,1,71,30.932,23.509
