Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
9,InfectionPressure,Expansion,2,70,12.709,22.430
10,Expansion,InfectionPressure,1,200,24.861,6.753
1,InfectionPressure,Hybrid,2,56,22.508,24.827
2,Hybrid,InfectionPressure,1,59,28.406,27.027
3,InfectionPressure,Hybrid,2,56,22.032,24.679
4,Hybrid,InfectionPressure,1,59,29.561,27.183
5,InfectionPressure,Hybrid,2,56,22.361,25.426
6,Hybrid,InfectionPressure,1,59,28.998,26.846
7,InfectionPressure,Hybrid,2,56,22.351,24.753
8,Hybrid,InfectionPressure,1,59,28.575,27.566
9,InfectionPressure,Hybrid,2,56,22.181,24.663
10,Hybrid,InfectionPressure,1,59,28.790,26.858
1,Expansion,Hybrid,2,68,22.152,14.574
2,Hybrid,Expansion,2,200,9.492,28.443
3,Expansion,Hybrid,2,68,21.546,14.074
4,Hybrid,Expansion,2,200,9.552,27.946
5,Expansion,Hybrid,2,68,21.731,14.337
6,Hybrid,Expansion,2,200,9.668,27.967
7,Expansion,Hybrid,2,68,21.652,14.280
8,Hybrid,Expansion,2,200,9.524,27.999
9,Expansion,Hybrid,2,68,21.401,13.963
10,Hybrid,Expansion,2,200,9.551,28.418
