Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,Expansion,2,200,9.732,28.059
2,Expansion,Hybrid,2,68,21.785,14.343
3,Hybrid,Expansion,2,200,9.424,27.967
4,Expansion,Hybrid,2,68,21.422,14.023
5,Hybrid,Expansion,2,200,9.525,27.960
6,Expansion,Hybrid,2,68,21.791,14.075
7,Hybrid,Expansion,2,200,9.558,27.939
8,Expansion,Hybrid,2,68,21.358,14.030
9,Hybrid,Expansion,2,200,9.461,28.049
10,Expansion,Hybrid,2,68,21.528,14.166
1,Hybrid,Material,1,69,17.387,8.862
2,Material,Hybrid,2,200,4.975,23.477
3,Hybrid,Material,1,69,17.335,8.794
4,Material,Hybrid,2,200,5.008,23.537
5,Hybrid,Material,1,69,17.388,8.770
6,Material,Hybrid,2,200,5.005,23.523
7,Hybrid,Material,1,69,17.256,8.808
8,Material,Hybrid,2,200,4.958,23.488
9,Hybrid,Material,1,69,17.288,8.803
10,Material,Hybrid,2,200,5.014,23.267
1,Hybrid,Hybrid+Mat80,1,200,26.066,5.991
2,Hybrid+Mat80,Hybrid,1,57,21.837,16.458
3,Hybrid,Hybrid+Mat80,1,200,25.697,5.922
4,Hybrid+Mat80,Hybrid,1,57,21.738,16.386
5,Hybrid,Hybrid+Mat80,1,200,25.947,6.037
6,Hybrid+Mat80,Hybrid,1,57,21.557,16.208
7,Hybrid,Hybrid+Mat80,1,200,26.408,5.732
8,Hybrid+Mat80,Hybrid,1,57,21.452,16.262
9,Hybrid,Hybrid+Mat80,1,200,25.859,5.846
10,Hybrid+Mat80,Hybrid,1,57,21.485,16.268
1,Hybrid,Hybrid+Mat120,1,57,31.794,26.899
2,Hybrid+Mat120,Hybrid,2,58,26.161,26.864
3,Hybrid,Hybrid+Mat120,1,57,31.178,26.812
4,Hybrid+Mat120,Hybrid,2,58,26.346,27.176
5,Hybrid,Hybrid+Mat120,1,57,31.154,26.744
6,Hybrid+Mat120,Hybrid,2,58,26.078,26.696
7,Hybrid,Hybrid+Mat120,1,57,31.089,26.488
8,Hybrid+Mat120,Hybrid,2,58,26.221,26.688
9,Hybrid,Hybrid+Mat120,1,57,31.338,26.997
10,Hybrid+Mat120,Hybrid,2,58,25.968,26.873
1,Hybrid,Expansion+Mat80,2,60,26.945,19.812
2,Expansion+Mat80,Hybrid,1,63,22.326,17.513
3,Hybrid,Expansion+Mat80,2,60,26.277,19.489
4,Expansion+Mat80,Hybrid,1,63,21.905,17.345
5,Hybrid,Expansion+Mat80,2,60,26.398,19.764
6,Expansion+Mat80,Hybrid,1,63,21.964,17.521
7,Hybrid,Expansion+Mat80,2,60,26.691,19.772
8,Expansion+Mat80,Hybrid,1,63,21.802,17.468
9,Hybrid,Expansion+Mat80,2,60,26.484,19.680
10,Expansion+Mat80,Hybrid,1,63,22.041,17.440
1,Hybrid,Expansion+Mat120,2,60,26.701,19.864
2,Expansion+Mat120,Hybrid,1,63,21.843,17.565
3,Hybrid,Expansion+Mat120,2,60,26.231,20.022
4,Expansion+Mat120,Hybrid,1,63,22.197,17.734
5,Hybrid,Expansion+Mat120,2,60,26.691,20.292
6,Expansion+Mat120,Hybrid,1,63,21.739,17.658
7,Hybrid,Expansion+Mat120,2,60,26.601,19.984
8,Expansion+Mat120,Hybrid,1,63,21.587,17.321
9,Hybrid,Expansion+Mat120,2,60,26.678,20.180
10,Expansion+Mat120,Hybrid,1,63,22.328,17.454
1,Hybrid,Material+Mat80,1,69,17.705,9.196
2,Material+Mat80,Hybrid,2,200,5.509,23.632
3,Hybrid,Material+Mat80,1,69,17.698,9.140
4,Material+Mat80,Hybrid,2,200,5.276,23.651
5,Hybrid,Material+Mat80,1,69,17.664,9.231
6,Material+Mat80,Hybrid,2,200,5.230,23.766
7,Hybrid,Material+Mat80,1,69,17.691,9.150
8,Material+Mat80,Hybrid,2,200,5.277,23.982
9,Hybrid,Material+Mat80,1,69,17.616,9.130
10,Material+Mat80,Hybrid,2,200,5.170,23.616
1,Hybrid,Material+Mat120,1,69,17.777,9.159
2,Material+Mat120,Hybrid,2,200,5.149,23.885
3,Hybrid,Material+Mat120,1,69,17.713,9.153
4,Material+Mat120,Hybrid,2,200,5.114,23.905
5,Hybrid,Material+Mat120,1,69,17.456,9.095
6,Material+Mat120,Hybrid,2,200,5.118,23.736
7,Hybrid,Material+Mat120,1,69,17.477,9.067
8,Material+Mat120,Hybrid,2,200,5.086,23.854
9,Hybrid,Material+Mat120,1,69,17.741,9.276
10,Material+Mat120,Hybrid,2,200,5.179,23.727
1,Expansion,Material,1,200,32.939,2.711
2,Material,Expansion,1,200,6.485,4.385
3,Expansion,Material,1,200,32.764,2.697
4,Material,Expansion,1,200,6.391,4.535
5,Expansion,Material,1,200,33.055,2.773
6,Material,Expansion,1,200,6.302,4.258
7,Expansion,Material,1,200,33.380,2.790
8,Material,Expansion,1,200,6.450,4.224
9,Expansion,Material,1,200,33.065,2.677
10,Material,Expansion,1,200,6.360,4.229
1,Expansion,Hybrid+Mat80,1,63,25.807,24.783
2,Hybrid+Mat80,Expansion,1,200,26.654,7.475
3,Expansion,Hybrid+Mat80,1,63,25.492,24.598
4,Hybrid+Mat80,Expansion,1,200,26.503,7.641
5,Expansion,Hybrid+Mat80,1,63,25.823,24.992
6,Hybrid+Mat80,Expansion,1,200,26.735,7.682
7,Expansion,Hybrid+Mat80,1,63,25.583,24.734
8,Hybrid+Mat80,Expansion,1,200,26.330,7.574
9,Expansion,Hybrid+Mat80,1,63,25.956,24.641
10,Hybrid+Mat80,Expansion,1,200,26.290,7.665
1,Expansion,Hybrid+Mat120,1,67,25.910,30.443
2,Hybrid+Mat120,Expansion,1,69,19.535,20.012
3,Expansion,Hybrid+Mat120,1,67,27.076,31.398
4,Hybrid+Mat120,Expansion,1,69,20.816,21.264
5,Expansion,Hybrid+Mat120,1,67,28.581,33.061
6,Hybrid+Mat120,Expansion,1,69,20.982,21.285
7,Expansion,Hybrid+Mat120,1,67,25.502,29.978
8,Hybrid+Mat120,Expansion,1,69,19.727,19.895
9,Expansion,Hybrid+Mat120,1,67,25.872,30.238
10,Hybrid+Mat120,Expansion,1,69,19.613,19.824
1,Expansion,Expansion+Mat80,2,200,6.622,19.905
2,Expansion+Mat80,Expansion,1,63,16.583,18.256
3,Expansion,Expansion+Mat80,2,200,6.693,19.893
4,Expansion+Mat80,Expansion,1,63,16.759,18.182
5,Expansion,Expansion+Mat80,2,200,6.574,19.738
6,Expansion+Mat80,Expansion,1,63,16.829,18.455
7,Expansion,Expansion+Mat80,2,200,6.468,19.651
8,Expansion+Mat80,Expansion,1,63,16.418,18.057
9,Expansion,Expansion+Mat80,2,200,6.631,19.786
10,Expansion+Mat80,Expansion,1,63,16.920,18.246
1,Expansion,Expansion+Mat120,2,200,6.806,20.217
2,Expansion+Mat120,Expansion,1,63,16.621,18.296
3,Expansion,Expansion+Mat120,2,200,6.603,19.849
4,Expansion+Mat120,Expansion,1,63,16.383,18.139
5,Expansion,Expansion+Mat120,2,200,6.641,20.347
6,Expansion+Mat120,Expansion,1,63,16.517,18.370
7,Expansion,Expansion+Mat120,2,200,6.625,19.949
8,Expansion+Mat120,Expansion,1,63,16.474,18.178
9,Expansion,Expansion+Mat120,2,200,6.820,20.292
10,Expansion+Mat120,Expansion,1,63,16.626,18.160
1,Expansion,Material+Mat80,1,200,33.310,2.819
2,Material+Mat80,Expansion,1,200,6.545,4.296
3,Expansion,Material+Mat80,1,200,33.187,3.012
4,Material+Mat80,Expansion,1,200,6.624,4.225
5,Expansion,Material+Mat80,1,200,33.141,2.810
6,Material+Mat80,Expansion,1,200,6.437,4.306
7,Expansion,Material+Mat80,1,200,33.348,2.936
8,Material+Mat80,Expansion,1,200,6.468,4.248
9,Expansion,Material+Mat80,1,200,33.496,2.811
10,Material+Mat80,Expansion,1,200,6.499,4.172
1,Expansion,Material+Mat120,1,200,33.224,2.789
2,Material+Mat120,Expansion,1,200,6.408,4.199
3,Expansion,Material+Mat120,1,200,33.097,2.799
4,Material+Mat120,Expansion,1,200,6.427,4.246
5,Expansion,Material+Mat120,1,200,32.361,2.777
6,Material+Mat120,Expansion,1,200,6.902,4.334
7,Expansion,Material+Mat120,1,200,32.640,2.740
8,Material+Mat120,Expansion,1,200,6.671,4.246
9,Expansion,Material+Mat120,1,200,32.768,2.765
10,Material+Mat120,Expansion,1,200,6.563,4.270
1,Material,Hybrid+Mat80,1,200,5.335,7.102
2,Hybrid+Mat80,Material,2,60,14.387,9.398
3,Material,Hybrid+Mat80,1,200,5.367,7.199
4,Hybrid+Mat80,Material,2,60,14.351,9.355
5,Material,Hybrid+Mat80,1,200,5.403,7.147
6,Hybrid+Mat80,Material,2,60,14.538,9.473
7,Material,Hybrid+Mat80,1,200,5.577,7.338
8,Hybrid+Mat80,Material,2,60,14.392,9.500
