Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
4,Material,Hybrid,2,200,5.049,23.440
5,Hybrid,Material,1,69,17.406,8.722
6,Material,Hybrid,2,200,4.946,23.302
7,Hybrid,Material,1,69,17.242,8.735
8,Material,Hybrid,2,200,4.940,23.382
9,Hybrid,Material,1,69,17.236,8.874
10,Material,Hybrid,2,200,4.975,23.616
1,Hybrid,Expansion+Mat90,2,60,25.751,19.380
2,Expansion+Mat90,Hybrid,1,63,21.989,17.011
3,Hybrid,Expansion+Mat90,2,60,25.640,19.385
4,Expansion+Mat90,Hybrid,1,63,21.348,17.215
5,Hybrid,Expansion+Mat90,2,60,26.070,19.571
6,Expansion+Mat90,Hybrid,1,63,21.215,16.818
7,Hybrid,Expansion+Mat90,2,60,26.017,19.747
8,Expansion+Mat90,Hybrid,1,63,21.137,16.930
9,Hybrid,Expansion+Mat90,2,60,26.105,19.813
10,Expansion+Mat90,Hybrid,1,63,21.448,17.191
1,Hybrid,Expansion+Mat110,2,60,25.762,19.481
2,Expansion+Mat110,Hybrid,1,63,21.198,17.234
3,Hybrid,Expansion+Mat110,2,60,25.639,19.269
4,Expansion+Mat110,Hybrid,1,63,21.285,17.019
5,Hybrid,Expansion+Mat110,2,60,26.466,19.796
6,Expansion+Mat110,Hybrid,1,63,21.045,16.812
7,Hybrid,Expansion+Mat110,2,60,25.962,19.690
8,Expansion+Mat110,Hybrid,1,63,21.101,16.827
9,Hybrid,Expansion+Mat110,2,60,26.060,19.569
10,Expansion+Mat110,Hybrid,1,63,21.446,17.129
1,Hybrid,Expansion+Mat130,2,60,25.779,19.313
2,Expansion+Mat130,Hybrid,1,63,21.469,17.246
3,Hybrid,Expansion+Mat130,2,60,25.584,19.291
4,Expansion+Mat130,Hybrid,1,63,21.282,17.398
5,Hybrid,Expansion+Mat130,2,60,26.202,19.647
6,Expansion+Mat130,Hybrid,1,63,21.134,16.944
7,Hybrid,Expansion+Mat130,2,60,26.173,19.914
8,Expansion+Mat130,Hybrid,1,63,21.121,16.940
9,Hybrid,Expansion+Mat130,2,60,26.055,19.650
10,Expansion+Mat130,Hybrid,1,63,21.563,17.096
1,Hybrid,Expansion+Mat150,2,60,25.825,19.382
2,Expansion+Mat150,Hybrid,1,63,21.495,17.303
3,Hybrid,Expansion+Mat150,2,60,25.571,19.344
4,Expansion+Mat150,Hybrid,1,63,21.395,17.094
5,Hybrid,Expansion+Mat150,2,60,26.419,19.693
6,Expansion+Mat150,Hybrid,1,63,21.123,16.836
7,Hybrid,Expansion+Mat150,2,60,26.227,19.780
8,Expansion+Mat150,Hybrid,1,63,21.068,16.749
9,Hybrid,Expansion+Mat150,2,60,25.811,19.703
10,Expansion+Mat150,Hybrid,1,63,21.483,17.252
1,Hybrid,Expansion+InfectionPressurex20,1,200,8.120,7.732
2,Expansion+InfectionPressurex20,Hybrid,2,60,27.623,18.134
3,Hybrid,Expansion+InfectionPressurex20,1,200,8.163,7.771
4,Expansion+InfectionPressurex20,Hybrid,2,60,27.354,17.931
5,Hybrid,Expansion+InfectionPressurex20,1,200,8.271,7.894
6,Expansion+InfectionPressurex20,Hybrid,2,60,27.516,18.073
7,Hybrid,Expansion+InfectionPressurex20,1,200,8.061,7.645
8,Expansion+InfectionPressurex20,Hybrid,2,60,27.862,18.056
9,Hybrid,Expansion+InfectionPressurex20,1,200,8.159,7.765
10,Expansion+InfectionPressurex20,Hybrid,2,60,27.314,17.891
1,Hybrid,Expansion+InfectionPressurex35,1,200,26.584,8.427
2,Expansion+InfectionPressurex35,Hybrid,2,200,8.180,19.789
3,Hybrid,Expansion+InfectionPressurex35,1,200,26.151,8.207
4,Expansion+InfectionPressurex35,Hybrid,2,200,8.174,19.824
5,Hybrid,Expansion+InfectionPressurex35,1,200,26.422,8.298
6,Expansion+InfectionPressurex35,Hybrid,2,200,8.357,19.681
7,Hybrid,Expansion+InfectionPressurex35,1,200,26.548,8.236
8,Expansion+InfectionPressurex35,Hybrid,2,200,8.255,19.674
9,Hybrid,Expansion+InfectionPressurex35,1,200,26.579,8.256
10,Expansion+InfectionPressurex35,Hybrid,2,200,8.154,19.448
1,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.913,20.966
2,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.302,17.698
3,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.440,20.754
4,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.593,17.547
5,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.618,21.281
6,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.028,17.508
7,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.743,21.157
8,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,28.091,17.578
9,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.762,21.128
10,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.373,17.623
1,Hybrid,Expansion+InfectionPressurex35+Mat100,2,68,23.891,21.497
2,Expansion+InfectionPressurex35+Mat100,Hybrid,2,200,8.554,19.810
3,Hybrid,Expansion+InfectionPressurex35+Mat100,2,68,23.405,21.088
4,Expansion+InfectionPressurex35+Mat100,Hybrid,2,200,8.568,19.963
5,Hybrid,Expansion+InfectionPressurex35+Mat100,2,68,23.922,21.201
6,Expansion+InfectionPressurex35+Mat100,Hybrid,2,200,8.474,19.469
7,Hybrid,Expansion+InfectionPressurex35+Mat100,2,68,23.962,21.429
8,Expansion+InfectionPressurex35+Mat100,Hybrid,2,200,8.575,19.802
9,Hybrid,Expansion+InfectionPressurex35+Mat100,2,68,23.490,21.145
10,Expansion+InfectionPressurex35+Mat100,Hybrid,2,200,8.569,19.734
1,Material,Expansion+Mat90,1,200,8.388,3.549
2,Expansion+Mat90,Material,1,200,29.105,2.853
3,Material,Expansion+Mat90,1,200,8.350,3.511
4,Expansion+Mat90,Material,1,200,29.063,2.790
5,Material,Expansion+Mat90,1,200,8.342,3.541
6,Expansion+Mat90,Material,1,200,28.584,2.804
7,Material,Expansion+Mat90,1,200,8.961,3.762
8,Expansion+Mat90,Material,1,200,28.768,2.804
9,Material,Expansion+Mat90,1,200,8.307,3.657
10,Expansion+Mat90,Material,1,200,29.116,2.898
1,Material,Expansion+Mat110,1,200,8.411,3.532
2,Expansion+Mat110,Material,1,200,29.344,2.828
3,Material,Expansion+Mat110,1,200,8.434,3.577
4,Expansion+Mat110,Material,1,200,29.686,2.906
5,Material,Expansion+Mat110,1,200,8.352,3.534
6,Expansion+Mat110,Material,1,200,28.672,2.799
7,Material,Expansion+Mat110,1,200,8.637,3.615
8,Expansion+Mat110,Material,1,200,28.510,2.820
9,Material,Expansion+Mat110,1,200,8.343,3.541
10,Expansion+Mat110,Material,1,200,28.987,2.899
1,Material,Expansion+Mat130,1,200,8.380,3.539
2,Expansion+Mat130,Material,1,200,29.254,2.859
3,Material,Expansion+Mat130,1,200,8.469,3.509
4,Expansion+Mat130,Material,1,200,28.889,2.868
5,Material,Expansion+Mat130,1,200,8.398,3.520
6,Expansion+Mat130,Material,1,200,28.479,2.804
7,Material,Expansion+Mat130,1,200,8.516,3.685
8,Expansion+Mat130,Material,1,200,28.448,2.794
9,Material,Expansion+Mat130,1,200,8.402,3.529
10,Expansion+Mat130,Material,1,200,29.091,2.877
1,Material,Expansion+Mat150,1,200,8.316,3.535
2,Expansion+Mat150,Material,1,200,29.100,2.817
3,Material,Expansion+Mat150,1,200,8.292,3.526
4,Expansion+Mat150,Material,1,200,28.991,2.869
5,Material,Expansion+Mat150,1,200,8.271,3.527
6,Expansion+Mat150,Material,1,200,28.396,2.787
7,Material,Expansion+Mat150,1,200,8.492,3.584
8,Expansion+Mat150,Material,1,200,28.350,2.804
9,Material,Expansion+Mat150,1,200,8.366,3.539
10,Expansion+Mat150,Material,1,200,29.414,2.839
1,Material,Expansion+InfectionPressurex20,1,200,8.449,4.263
2,Expansion+InfectionPressurex20,Material,1,61,36.978,11.712
3,Material,Expansion+InfectionPressurex20,1,200,8.313,4.226
4,Expansion+InfectionPressurex20,Material,1,61,36.812,11.662
5,Material,Expansion+InfectionPressurex20,1,200,8.360,4.223
6,Expansion+InfectionPressurex20,Material,1,61,36.884,11.629
7,Material,Expansion+InfectionPressurex20,1,200,8.372,4.227
8,Expansion+InfectionPressurex20,Material,1,61,37.430,11.877
9,Material,Expansion+InfectionPressurex20,1,200,8.615,4.438
10,Expansion+InfectionPressurex20,Material,1,61,36.984,11.723
1,Material,Expansion+InfectionPressurex35,1,200,8.420,4.405
2,Expansion+InfectionPressurex35,Material,1,200,36.084,2.876
3,Material,Expansion+InfectionPressurex35,1,200,8.338,4.403
4,Expansion+InfectionPressurex35,Material,1,200,35.080,2.769
5,Material,Expansion+InfectionPressurex35,1,200,8.706,4.621
6,Expansion+InfectionPressurex35,Material,1,200,34.700,2.842
7,Material,Expansion+InfectionPressurex35,1,200,8.338,4.376
8,Expansion+InfectionPressurex35,Material,1,200,34.140,2.746
9,Material,Expansion+InfectionPressurex35,1,200,8.504,4.492
10,Expansion+InfectionPressurex35,Material,1,200,34.465,2.793
1,Material,Expansion+InfectionPressurex20+Mat100,1,200,8.505,4.290
2,Expansion+InfectionPressurex20+Mat100,Material,1,200,34.024,2.837
3,Material,Expansion+InfectionPressurex20+Mat100,1,200,8.594,4.264
4,Expansion+InfectionPressurex20+Mat100,Material,1,200,33.676,2.798
5,Material,Expansion+InfectionPressurex20+Mat100,1,200,8.372,4.376
6,Expansion+InfectionPressurex20+Mat100,Material,1,200,33.992,2.835
7,Material,Expansion+InfectionPressurex20+Mat100,1,200,8.330,4.168
8,Expansion+InfectionPressurex20+Mat100,Material,1,200,34.113,2.833
9,Material,Expansion+InfectionPressurex20+Mat100,1,200,8.313,4.161
10,Expansion+InfectionPressurex20+Mat100,Material,1,200,33.930,2.840
1,Material,Expansion+InfectionPressurex35+Mat100,1,200,8.336,4.401
2,Expansion+InfectionPressurex35+Mat100,Material,1,200,34.194,2.823
3,Material,Expansion+InfectionPressurex35+Mat100,1,200,8.356,4.373
4,Expansion+InfectionPressurex35+Mat100,Material,1,200,33.791,2.869
5,Material,Expansion+InfectionPressurex35+Mat100,1,200,8.399,4.337
6,Expansion+InfectionPressurex35+Mat100,Material,1,200,33.641,2.821
7,Material,Expansion+InfectionPressurex35+Mat100,1,200,9.090,4.637
8,Expansion+InfectionPressurex35+Mat100,Material,1,200,33.386,2.816
9,Material,Expansion+InfectionPressurex35+Mat100,1,200,8.827,4.573
10,Expansion+InfectionPressurex35+Mat100,Material,1,200,33.505,2.823
1,Expansion+Mat90,Expansion+Mat110,1,71,30.627,22.683
2,Expansion+Mat110,Expansion+Mat90,1,71,30.641,22.888
3,Expansion+Mat90,Expansion+Mat110,1,71,30.305,22.880
4,Expansion+Mat110,Expansion+Mat90,1,71,30.239,22.637
5,Expansion+Mat90,Expansion+Mat110,1,71,30.318,22.862
6,Expansion+Mat110,Expansion+Mat90,1,71,30.415,22.775
7,Expansion+Mat90,Expansion+Mat110,1,71,30.233,22.599
8,Expansion+Mat110,Expansion+Mat90,1,71,30.382,22.839
9,Expansion+Mat90,Expansion+Mat110,1,71,30.425,22.610
10,Expansion+Mat110,Expansion+Mat90,1,71,30.261,23.088
1,Expansion+Mat90,Expansion+Mat130,1,71,30.347,22.779
2,Expansion+Mat130,Expansion+Mat90,1,71,30.531,22.865
3,Expansion+Mat90,Expansion+Mat130,1,71,30.370,22.848
4,Expansion+Mat130,Expansion+Mat90,1,71,30.533,22.903
5,Expansion+Mat90,Expansion+Mat130,1,71,30.326,22.949
6,Expansion+Mat130,Expansion+Mat90,1,71,30.303,22.660
7,Expansion+Mat90,Expansion+Mat130,1,71,30.522,22.918
8,Expansion+Mat130,Expansion+Mat90,1,71,30.474,22.666
9,Expansion+Mat90,Expansion+Mat130,1,71,30.242,22.570
10,Expansion+Mat130,Expansion+Mat90,1,71,30.531,23.090
1,Expansion+Mat90,Expansion+Mat150,1,71,30.264,23.083
2,Expansion+Mat150,Expansion+Mat90,1,71,30.531,22.724
3,Expansion+Mat90,Expansion+Mat150,1,71,30.550,22.540
4,Expansion+Mat150,Expansion+Mat90,1,71,30.419,22.771
5,Expansion+Mat90,Expansion+Mat150,1,71,30.419,22.813
6,Expansion+Mat150,Expansion+Mat90,1,71,30.456,23.058
7,Expansion+Mat90,Expansion+Mat150,1,71,30.370,22.796
8,Expansion+Mat150,Expansion+Mat90,1,71,30.579,23.027
9,Expansion+Mat90,Expansion+Mat150,1,71,30.632,22.662
10,Expansion+Mat150,Expansion+Mat90,1,71,30.323,23.082
1,Expansion+Mat90,Expansion+InfectionPressurex20,1,63,18.501,20.355
2,Expansion+InfectionPressurex20,Expansion+Mat90,1,200,29.836,6.766
3,Expansion+Mat90,Expansion+InfectionPressurex20,1,63,18.859,20.431
4,Expansion+InfectionPressurex20,Expansion+Mat90,1,200,29.907,6.621
5,Expansion+Mat90,Expansion+InfectionPressurex20,1,63,18.826,20.625
6,Expansion+InfectionPressurex20,Expansion+Mat90,1,200,29.982,6.741
7,Expansion+Mat90,Expansion+InfectionPressurex20,1,63,18.402,20.300
8,Expansion+InfectionPressurex20,Expansion+Mat90,1,200,30.081,6.675
9,Expansion+Mat90,Expansion+InfectionPressurex20,1,63,18.455,20.191
10,Expansion+InfectionPressurex20,Expansion+Mat90,1,200,30.134,6.707
1,Expansion+Mat90,Expansion+InfectionPressurex35,1,63,18.816,19.052
2,Expansion+InfectionPressurex35,Expansion+Mat90,1,200,30.090,6.664
3,Expansion+Mat90,Expansion+InfectionPressurex35,1,63,18.703,19.189
4,Expansion+InfectionPressurex35,Expansion+Mat90,1,200,29.877,6.717
5,Expansion+Mat90,Expansion+InfectionPressurex35,1,63,18.514,19.110
6,Expansion+InfectionPressurex35,Expansion+Mat90,1,200,30.223,6.819
7,Expansion+Mat90,Expansion+InfectionPressurex35,1,63,18.426,18.932
8,Expansion+InfectionPressurex35,Expansion+Mat90,1,200,30.130,6.711
9,Expansion+Mat90,Expansion+InfectionPressurex35,1,63,18.862,19.488
10,Expansion+InfectionPressurex35,Expansion+Mat90,1,200,29.775,6.642
1,Expansion+Mat90,Expansion+InfectionPressurex20+Mat100,1,71,30.073,28.306
2,Expansion+InfectionPressurex20+Mat100,Expansion+Mat90,2,200,11.375,33.866
3,Expansion+Mat90,Expansion+InfectionPressurex20+Mat100,1,71,30.484,28.812
4,Expansion+InfectionPressurex20+Mat100,Expansion+Mat90,2,200,11.393,33.957
5,Expansion+Mat90,Expansion+InfectionPressurex20+Mat100,1,71,30.173,28.524
6,Expansion+InfectionPressurex20+Mat100,Expansion+Mat90,2,200,11.315,33.578
7,Expansion+Mat90,Expansion+InfectionPressurex20+Mat100,1,71,30.536,28.733
8,Expansion+InfectionPressurex20+Mat100,Expansion+Mat90,2,200,11.245,34.175
9,Expansion+Mat90,Expansion+InfectionPressurex20+Mat100,1,71,30.218,28.335
10,Expansion+InfectionPressurex20+Mat100,Expansion+Mat90,2,200,11.503,33.520
1,Expansion+Mat90,Expansion+InfectionPressurex35+Mat100,1,71,30.238,28.504
2,Expansion+InfectionPressurex35+Mat100,Expansion+Mat90,2,200,11.262,33.830
3,Expansion+Mat90,Expansion+InfectionPressurex35+Mat100,1,71,30.323,28.539
4,Expansion+InfectionPressurex35+Mat100,Expansion+Mat90,2,200,11.307,33.512
5,Expansion+Mat90,Expansion+InfectionPressurex35+Mat100,1,71,30.474,28.169
