Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Material,Expansion,1,200,5.852,3.916
2,Expansion,Material,1,200,9.952,2.531
3,Material,Expansion,1,200,5.920,3.902
4,Expansion,Material,1,200,11.585,2.844
5,Material,Expansion,1,200,7.708,5.083
6,Expansion,Material,1,200,13.232,3.328
7,Material,Expansion,1,200,7.539,5.028
8,Expansion,Material,1,200,13.228,3.308
9,Material,Expansion,1,200,7.661,5.264
10,Expansion,Material,1,200,13.136,3.277
1,Material,Hybrid,1,63,16.431,35.117
2,Hybrid,Material,1,65,22.974,10.470
3,Material,Hybrid,1,63,15.852,34.174
4,Hybrid,Material,1,65,23.010,10.290
5,Material,Hybrid,1,63,16.046,35.136
6,Hybrid,Material,1,65,23.118,10.382
7,Material,Hybrid,1,63,16.217,34.500
8,Hybrid,Material,1,65,22.538,10.183
9,Material,Hybrid,1,63,16.967,35.757
10,Hybrid,Material,1,65,22.659,10.757
1,Material,Mobility,1,71,19.045,129.695
2,Mobility,Material,1,63,119.323,12.124
3,Material,Mobility,1,71,18.768,127.079
4,Mobility,Material,1,63,119.851,12.164
5,Material,Mobility,1,71,18.536,127.467
6,Mobility,Material,1,63,121.545,12.284
7,Material,Mobility,1,71,18.745,128.448
8,Mobility,Material,1,63,119.522,12.119
9,Material,Mobility,1,71,18.546,127.539
10,Mobility,Material,1,63,118.465,12.070
1,Material,PotentialConversion,2,62,20.358,18.543
2,PotentialConversion,Material,2,62,23.378,16.474
3,Material,PotentialConversion,2,62,20.155,18.391
4,PotentialConversion,Material,2,62,23.405,16.529
5,Material,PotentialConversion,2,62,20.567,18.979
6,PotentialConversion,Material,2,62,23.249,16.496
7,Material,PotentialConversion,2,62,20.919,18.582
8,PotentialConversion,Material,2,62,22.860,16.220
9,Material,PotentialConversion,2,62,20.538,18.828
10,PotentialConversion,Material,2,62,22.828,16.348
1,Material,PositionWeight,2,56,8.192,10.712
2,PositionWeight,Material,2,62,15.658,13.680
3,Material,PositionWeight,2,56,10.210,13.258
4,PositionWeight,Material,2,62,15.753,13.534
5,Material,PositionWeight,2,56,8.525,11.130
6,PositionWeight,Material,2,62,15.243,13.039
7,Material,PositionWeight,2,56,8.292,10.719
8,PositionWeight,Material,2,62,16.334,13.922
9,Material,PositionWeight,2,56,8.328,10.788
10,PositionWeight,Material,2,62,15.258,12.836
1,Material,ControlArea,2,200,4.939,23.760
2,ControlArea,Material,2,200,10.794,12.477
3,Material,ControlArea,2,200,5.061,24.082
4,ControlArea,Material,2,200,10.415,11.706
5,Material,ControlArea,2,200,5.116,24.662
6,ControlArea,Material,2,200,11.890,13.469
7,Material,ControlArea,2,200,5.039,24.125
8,ControlArea,Material,2,200,10.550,11.810
9,Material,ControlArea,2,200,4.908,23.624
10,ControlArea,Material,2,200,10.650,11.711
1,Material,Aggression,2,62,13.523,27.816
2,Aggression,Material,2,62,69.066,20.194
3,Material,Aggression,2,62,13.728,28.680
4,Aggression,Material,2,62,68.817,20.182
5,Material,Aggression,2,62,13.676,28.171
6,Aggression,Material,2,62,69.034,20.218
7,Material,Aggression,2,62,13.771,28.244
8,Aggression,Material,2,62,69.029,20.031
9,Material,Aggression,2,62,13.564,28.113
10,Aggression,Material,2,62,69.087,20.254
1,Material,Adaptive,1,200,11.135,5.579
2,Adaptive,Material,1,65,24.167,10.217
3,Material,Adaptive,1,200,11.339,5.584
4,Adaptive,Material,1,65,24.228,10.420
5,Material,Adaptive,1,200,11.027,5.552
6,Adaptive,Material,1,65,24.240,10.396
7,Material,Adaptive,1,200,11.125,5.606
