Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,Material,1,65,17.742,8.047
2,Material,Hybrid,1,63,12.869,27.306
3,Hybrid,Material,1,65,17.684,8.085
4,Material,Hybrid,1,63,12.411,26.637
5,Hybrid,Material,1,65,17.760,8.074
6,Material,Hybrid,1,63,12.676,27.159
7,Hybrid,Material,1,65,17.909,8.167
8,Material,Hybrid,1,63,12.613,27.291
9,Hybrid,Material,1,65,17.844,8.202
10,Material,Hybrid,1,63,12.563,27.049
1,Hybrid,Hybrid+Mat40,2,60,23.278,16.649
2,Hybrid+Mat40,Hybrid,1,67,24.524,22.816
3,Hybrid,Hybrid+Mat40,2,60,23.232,16.378
4,Hybrid+Mat40,Hybrid,1,67,24.432,22.669
5,Hybrid,Hybrid+Mat40,2,60,23.187,16.374
6,Hybrid+Mat40,Hybrid,1,67,24.423,22.665
7,Hybrid,Hybrid+Mat40,2,60,23.202,16.397
8,Hybrid+Mat40,Hybrid,1,67,24.414,22.778
9,Hybrid,Hybrid+Mat40,2,60,23.281,16.519
10,Hybrid+Mat40,Hybrid,1,67,24.395,22.672
1,Hybrid,Hybrid+Mat80,1,63,17.698,15.935
2,Hybrid+Mat80,Hybrid,2,58,28.537,19.084
3,Hybrid,Hybrid+Mat80,1,63,17.497,15.871
4,Hybrid+Mat80,Hybrid,2,58,28.486,19.053
5,Hybrid,Hybrid+Mat80,1,63,17.514,15.809
6,Hybrid+Mat80,Hybrid,2,58,28.393,19.076
7,Hybrid,Hybrid+Mat80,1,63,17.454,15.837
8,Hybrid+Mat80,Hybrid,2,58,28.455,19.177
9,Hybrid,Hybrid+Mat80,1,63,17.403,15.849
10,Hybrid+Mat80,Hybrid,2,58,28.460,19.097
1,Hybrid,Hybrid+Mat120,1,55,21.142,15.235
2,Hybrid+Mat120,Hybrid,1,59,24.433,19.925
3,Hybrid,Hybrid+Mat120,1,55,21.210,15.245
4,Hybrid+Mat120,Hybrid,1,59,24.400,19.817
5,Hybrid,Hybrid+Mat120,1,55,21.230,15.295
6,Hybrid+Mat120,Hybrid,1,59,24.344,19.949
7,Hybrid,Hybrid+Mat120,1,55,21.397,15.348
8,Hybrid+Mat120,Hybrid,1,59,24.405,19.884
9,Hybrid,Hybrid+Mat120,1,55,21.229,15.178
10,Hybrid+Mat120,Hybrid,1,59,24.363,19.932
1,Hybrid,Material+Mat40,1,65,17.614,8.224
2,Material+Mat40,Hybrid,1,63,12.697,26.886
3,Hybrid,Material+Mat40,1,65,17.842,8.193
4,Material+Mat40,Hybrid,1,63,12.735,27.155
5,Hybrid,Material+Mat40,1,65,17.597,8.152
6,Material+Mat40,Hybrid,1,63,12.598,26.666
7,Hybrid,Material+Mat40,1,65,17.638,8.187
8,Material+Mat40,Hybrid,1,63,12.656,26.663
9,Hybrid,Material+Mat40,1,65,18.246,8.449
10,Material+Mat40,Hybrid,1,63,12.820,26.978
1,Hybrid,Material+Mat80,1,65,17.664,8.159
2,Material+Mat80,Hybrid,1,63,12.658,26.719
3,Hybrid,Material+Mat80,1,65,17.756,8.209
4,Material+Mat80,Hybrid,1,63,12.658,26.744
5,Hybrid,Material+Mat80,1,65,17.605,8.117
6,Material+Mat80,Hybrid,1,63,12.729,26.855
7,Hybrid,Material+Mat80,1,65,17.944,8.271
8,Material+Mat80,Hybrid,1,63,12.705,26.744
9,Hybrid,Material+Mat80,1,65,17.628,8.177
10,Material+Mat80,Hybrid,1,63,12.704,26.919
1,Hybrid,Material+Mat120,1,65,17.690,8.156
2,Material+Mat120,Hybrid,1,63,12.666,26.943
3,Hybrid,Material+Mat120,1,65,17.628,8.183
4,Material+Mat120,Hybrid,1,63,12.683,26.792
5,Hybrid,Material+Mat120,1,65,17.612,8.198
6,Material+Mat120,Hybrid,1,63,12.832,27.112
7,Hybrid,Material+Mat120,1,65,17.764,8.234
8,Material+Mat120,Hybrid,1,63,12.766,27.006
9,Hybrid,Material+Mat120,1,65,17.704,8.146
10,Material+Mat120,Hybrid,1,63,12.645,26.750
1,Material,Hybrid+Mat40,2,200,4.890,22.520
2,Hybrid+Mat40,Material,1,69,16.973,8.464
3,Material,Hybrid+Mat40,2,200,5.011,22.670
4,Hybrid+Mat40,Material,1,69,17.594,8.925
5,Material,Hybrid+Mat40,2,200,4.831,22.840
6,Hybrid+Mat40,Material,1,69,16.924,8.459
7,Material,Hybrid+Mat40,2,200,4.775,22.656
8,Hybrid+Mat40,Material,1,69,17.023,8.445
9,Material,Hybrid+Mat40,2,200,4.768,22.407
10,Hybrid+Mat40,Material,1,69,16.989,8.500
1,Material,Hybrid+Mat80,1,67,13.220,27.954
2,Hybrid+Mat80,Material,1,59,12.622,7.763
3,Material,Hybrid+Mat80,1,67,13.245,28.004
4,Hybrid+Mat80,Material,1,59,12.693,7.765
5,Material,Hybrid+Mat80,1,67,13.193,28.070
6,Hybrid+Mat80,Material,1,59,12.676,7.736
7,Material,Hybrid+Mat80,1,67,13.186,27.797
8,Hybrid+Mat80,Material,1,59,12.723,7.831
9,Material,Hybrid+Mat80,1,67,13.183,27.923
10,Hybrid+Mat80,Material,1,59,12.818,7.924
1,Material,Hybrid+Mat120,1,200,5.024,6.704
2,Hybrid+Mat120,Material,2,60,13.760,9.049
3,Material,Hybrid+Mat120,1,200,5.012,6.715
4,Hybrid+Mat120,Material,2,60,13.714,8.920
5,Material,Hybrid+Mat120,1,200,5.177,6.893
6,Hybrid+Mat120,Material,2,60,13.672,8.911
7,Material,Hybrid+Mat120,1,200,5.122,6.792
8,Hybrid+Mat120,Material,2,60,13.660,8.955
9,Material,Hybrid+Mat120,1,200,5.163,6.830
10,Hybrid+Mat120,Material,2,60,13.636,8.922
1,Material,Material+Mat40,2,62,16.113,13.099
2,Material+Mat40,Material,2,62,16.340,13.097
3,Material,Material+Mat40,2,62,16.054,13.201
4,Material+Mat40,Material,2,62,16.217,12.896
5,Material,Material+Mat40,2,62,16.041,13.035
6,Material+Mat40,Material,2,62,16.260,12.850
7,Material,Material+Mat40,2,62,16.174,13.138
8,Material+Mat40,Material,2,62,16.188,12.840
9,Material,Material+Mat40,2,62,16.028,13.010
10,Material+Mat40,Material,2,62,16.161,12.823
1,Material,Material+Mat80,2,62,16.074,13.085
2,Material+Mat80,Material,2,62,16.375,12.966
3,Material,Material+Mat80,2,62,16.405,13.180
4,Material+Mat80,Material,2,62,16.473,13.016
5,Material,Material+Mat80,2,62,16.269,13.127
6,Material+Mat80,Material,2,62,16.317,12.921
7,Material,Material+Mat80,2,62,16.954,13.667
8,Material+Mat80,Material,2,62,16.870,13.280
9,Material,Material+Mat80,2,62,16.877,13.727
10,Material+Mat80,Material,2,62,16.489,13.080
1,Material,Material+Mat120,2,62,16.199,13.058
2,Material+Mat120,Material,2,62,16.723,13.191
3,Material,Material+Mat120,2,62,16.689,13.571
4,Material+Mat120,Material,2,62,16.594,13.060
5,Material,Material+Mat120,2,62,16.100,13.044
6,Material+Mat120,Material,2,62,16.168,12.793
7,Material,Material+Mat120,2,62,16.128,13.171
8,Material+Mat120,Material,2,62,16.198,12.782
9,Material,Material+Mat120,2,62,16.066,13.140
10,Material+Mat120,Material,2,62,16.230,12.941
1,Hybrid+Mat40,Hybrid+Mat80,1,67,22.166,20.342
2,Hybrid+Mat80,Hybrid+Mat40,1,57,20.182,15.477
3,Hybrid+Mat40,Hybrid+Mat80,1,67,22.264,20.297
4,Hybrid+Mat80,Hybrid+Mat40,1,57,20.167,15.443
5,Hybrid+Mat40,Hybrid+Mat80,1,67,22.269,20.464
6,Hybrid+Mat80,Hybrid+Mat40,1,57,20.124,15.351
7,Hybrid+Mat40,Hybrid+Mat80,1,67,22.077,20.291
8,Hybrid+Mat80,Hybrid+Mat40,1,57,20.113,15.351
9,Hybrid+Mat40,Hybrid+Mat80,1,67,22.529,20.704
10,Hybrid+Mat80,Hybrid+Mat40,1,57,20.669,15.646
1,Hybrid+Mat40,Hybrid+Mat120,1,200,24.876,5.752
2,Hybrid+Mat120,Hybrid+Mat40,1,57,20.673,15.763
3,Hybrid+Mat40,Hybrid+Mat120,1,200,24.789,5.610
4,Hybrid+Mat120,Hybrid+Mat40,1,57,20.715,15.854
5,Hybrid+Mat40,Hybrid+Mat120,1,200,24.236,5.395
6,Hybrid+Mat120,Hybrid+Mat40,1,57,20.235,15.407
7,Hybrid+Mat40,Hybrid+Mat120,1,200,24.454,5.411
8,Hybrid+Mat120,Hybrid+Mat40,1,57,20.217,15.386
9,Hybrid+Mat40,Hybrid+Mat120,1,200,24.388,5.534
10,Hybrid+Mat120,Hybrid+Mat40,1,57,20.157,15.393
1,Hybrid+Mat40,Material+Mat40,1,69,17.041,8.615
