Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,PositionWeight,1,60,12.269,7.142
2,PositionWeight,Hybrid,1,55,9.464,17.722
3,Hybrid,PositionWeight,1,60,12.312,7.193
4,PositionWeight,Hybrid,1,55,9.499,17.472
5,Hybrid,PositionWeight,1,60,12.249,7.180
6,PositionWeight,Hybrid,1,55,9.378,17.399
7,Hybrid,PositionWeight,1,60,12.237,7.130
8,PositionWeight,Hybrid,1,55,9.416,17.487
9,Hybrid,PositionWeight,1,60,12.399,7.227
10,PositionWeight,Hybrid,1,55,9.434,17.526
1,Hybrid,Material,1,65,17.904,8.156
2,Material,Hybrid,1,63,12.661,27.074
3,Hybrid,Material,1,65,17.649,8.044
4,Material,Hybrid,1,63,12.641,26.952
5,Hybrid,Material,1,65,17.800,8.101
6,Material,Hybrid,1,63,12.829,27.284
7,Hybrid,Material,1,65,17.840,8.137
8,Material,Hybrid,1,63,12.674,27.188
9,Hybrid,Material,1,65,17.866,8.216
10,Material,Hybrid,1,63,12.641,26.898
1,Hybrid,Expansion,1,63,21.670,21.344
2,Expansion,Hybrid,2,66,28.279,21.989
3,Hybrid,Expansion,1,63,21.664,21.306
4,Expansion,Hybrid,2,66,28.484,22.139
5,Hybrid,Expansion,1,63,21.866,21.513
6,Expansion,Hybrid,2,66,28.335,22.036
7,Hybrid,Expansion,1,63,21.608,21.278
8,Expansion,Hybrid,2,66,28.360,21.996
9,Hybrid,Expansion,1,63,21.717,21.557
10,Expansion,Hybrid,2,66,28.305,22.026
1,Hybrid,PotentialConversion,1,65,17.760,9.558
2,PotentialConversion,Hybrid,1,63,14.157,26.848
3,Hybrid,PotentialConversion,1,65,17.824,9.586
4,PotentialConversion,Hybrid,1,63,14.177,26.803
5,Hybrid,PotentialConversion,1,65,17.805,9.572
6,PotentialConversion,Hybrid,1,63,14.157,26.844
7,Hybrid,PotentialConversion,1,65,18.171,9.794
8,PotentialConversion,Hybrid,1,63,14.156,26.875
9,Hybrid,PotentialConversion,1,65,17.813,9.558
10,PotentialConversion,Hybrid,1,63,14.231,26.904
1,PositionWeight,Material,2,62,12.107,10.285
2,Material,PositionWeight,2,56,6.674,8.610
3,PositionWeight,Material,2,62,12.020,10.213
4,Material,PositionWeight,2,56,6.508,8.494
5,PositionWeight,Material,2,62,12.033,10.231
6,Material,PositionWeight,2,56,6.628,8.633
7,PositionWeight,Material,2,62,12.017,10.225
8,Material,PositionWeight,2,56,6.525,8.511
9,PositionWeight,Material,2,62,12.082,10.258
10,Material,PositionWeight,2,56,6.612,8.602
1,PositionWeight,Expansion,2,68,8.368,15.675
2,Expansion,PositionWeight,1,67,21.710,18.183
3,PositionWeight,Expansion,2,68,8.385,15.695
4,Expansion,PositionWeight,1,67,21.654,18.190
5,PositionWeight,Expansion,2,68,8.414,15.727
6,Expansion,PositionWeight,1,67,21.610,18.153
7,PositionWeight,Expansion,2,68,8.374,15.741
8,Expansion,PositionWeight,1,67,21.617,18.242
9,PositionWeight,Expansion,2,68,8.405,15.735
10,Expansion,PositionWeight,1,67,21.626,18.294
1,PositionWeight,PotentialConversion,2,62,12.046,11.468
2,PotentialConversion,PositionWeight,2,56,7.589,8.519
3,PositionWeight,PotentialConversion,2,62,12.023,11.492
4,PotentialConversion,PositionWeight,2,56,7.659,8.591
5,PositionWeight,PotentialConversion,2,62,12.060,11.482
6,PotentialConversion,PositionWeight,2,56,7.596,8.518
7,PositionWeight,PotentialConversion,2,62,12.110,11.552
8,PotentialConversion,PositionWeight,2,56,7.861,8.871
9,PositionWeight,PotentialConversion,2,62,12.794,12.066
10,PotentialConversion,PositionWeight,2,56,7.777,8.644
1,Material,Expansion,1,200,6.055,4.139
2,Expansion,Material,1,200,10.381,2.647
3,Material,Expansion,1,200,6.075,4.276
4,Expansion,Material,1,200,10.397,2.647
5,Material,Expansion,1,200,6.004,4.070
6,Expansion,Material,1,200,10.506,2.743
7,Material,Expansion,1,200,6.041,4.051
8,Expansion,Material,1,200,10.370,2.634
9,Material,Expansion,1,200,6.014,4.038
10,Expansion,Material,1,200,10.391,2.633
1,Material,PotentialConversion,2,62,16.109,14.671
2,PotentialConversion,Material,2,62,18.245,13.074
3,Material,PotentialConversion,2,62,16.161,14.609
4,PotentialConversion,Material,2,62,18.115,12.867
5,Material,PotentialConversion,2,62,16.186,14.793
6,PotentialConversion,Material,2,62,18.053,12.885
7,Material,PotentialConversion,2,62,16.118,14.688
8,PotentialConversion,Material,2,62,18.304,13.059
9,Material,PotentialConversion,2,62,16.203,14.654
10,PotentialConversion,Material,2,62,18.190,12.932
1,Expansion,PotentialConversion,1,200,10.356,3.581
2,PotentialConversion,Expansion,1,200,7.035,4.047
3,Expansion,PotentialConversion,1,200,10.315,3.537
4,PotentialConversion,Expansion,1,200,7.087,4.040
5,Expansion,PotentialConversion,1,200,10.326,3.548
6,PotentialConversion,Expansion,1,200,7.149,4.163
7,Expansion,PotentialConversion,1,200,10.338,3.555
8,PotentialConversion,Expansion,1,200,7.003,4.099
9,Expansion,PotentialConversion,1,200,10.340,3.542
10,PotentialConversion,Expansion,1,200,7.206,4.226
