Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
3,Expansion,Aggression,1,59,19.800,32.685
4,Aggression,Expansion,2,200,15.664,9.131
5,Expansion,Aggression,1,59,19.777,32.631
6,Aggression,Expansion,2,200,15.618,9.107
7,Expansion,Aggression,1,59,19.703,32.495
8,Aggression,Expansion,2,200,15.699,9.166
9,Expansion,Aggression,1,59,19.815,32.584
10,Aggression,Expansion,2,200,15.775,9.233
1,Expansion,Adaptive,1,200,7.067,6.786
2,Adaptive,Expansion,1,63,22.769,21.520
3,Expansion,Adaptive,1,200,6.912,6.649
4,Adaptive,Expansion,1,63,22.504,21.229
5,Expansion,Adaptive,1,200,6.899,6.644
6,Adaptive,Expansion,1,63,22.390,21.163
7,Expansion,Adaptive,1,200,6.898,6.626
8,Adaptive,Expansion,1,63,22.474,21.254
9,Expansion,Adaptive,1,200,6.870,6.624
10,Adaptive,Expansion,1,63,22.509,21.285
1,Hybrid,Mobility,1,200,20.732,14.964
2,Mobility,Hybrid,1,61,41.401,14.501
3,Hybrid,Mobility,1,200,20.576,14.921
4,Mobility,Hybrid,1,61,41.440,14.419
5,Hybrid,Mobility,1,200,20.589,14.928
6,Mobility,Hybrid,1,61,41.198,14.394
7,Hybrid,Mobility,1,200,20.620,14.952
8,Mobility,Hybrid,1,61,41.280,14.365
9,Hybrid,Mobility,1,200,20.582,14.957
10,Mobility,Hybrid,1,61,41.406,14.477
1,Hybrid,PotentialConversion,1,65,17.628,9.470
2,PotentialConversion,Hybrid,1,63,14.180,26.778
3,Hybrid,PotentialConversion,1,65,17.648,9.439
4,PotentialConversion,Hybrid,1,63,14.191,26.778
5,Hybrid,PotentialConversion,1,65,17.584,9.477
6,PotentialConversion,Hybrid,1,63,14.265,26.864
7,Hybrid,PotentialConversion,1,65,17.744,9.555
8,PotentialConversion,Hybrid,1,63,14.265,26.870
9,Hybrid,PotentialConversion,1,65,17.941,9.566
10,PotentialConversion,Hybrid,1,63,14.282,27.092
1,Hybrid,PositionWeight,1,60,12.261,7.111
2,PositionWeight,Hybrid,1,55,9.243,17.227
3,Hybrid,PositionWeight,1,60,12.138,7.059
4,PositionWeight,Hybrid,1,55,9.317,17.366
5,Hybrid,PositionWeight,1,60,12.143,7.098
6,PositionWeight,Hybrid,1,55,9.366,17.319
7,Hybrid,PositionWeight,1,60,12.319,7.191
8,PositionWeight,Hybrid,1,55,9.271,17.195
9,Hybrid,PositionWeight,1,60,12.189,7.099
10,PositionWeight,Hybrid,1,55,9.255,17.183
1,Hybrid,ControlArea,0,200,6.334,10.777
2,ControlArea,Hybrid,2,200,6.926,4.089
3,Hybrid,ControlArea,0,200,6.300,10.736
4,ControlArea,Hybrid,2,200,6.928,4.082
5,Hybrid,ControlArea,0,200,6.388,10.817
6,ControlArea,Hybrid,2,200,6.920,4.097
7,Hybrid,ControlArea,0,200,6.361,10.782
8,ControlArea,Hybrid,2,200,6.932,4.105
9,Hybrid,ControlArea,0,200,6.422,10.874
10,ControlArea,Hybrid,2,200,6.932,4.106
1,Hybrid,Aggression,2,60,25.245,32.169
2,Aggression,Hybrid,2,200,12.808,31.684
3,Hybrid,Aggression,2,60,25.089,32.150
4,Aggression,Hybrid,2,200,12.834,32.016
5,Hybrid,Aggression,2,60,25.221,32.176
6,Aggression,Hybrid,2,200,12.830,31.739
