Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
3,Expansion,Expansion+Mat80,2,200,6.508,20.093
4,Expansion+Mat80,Expansion,1,63,17.011,18.480
5,Expansion,Expansion+Mat80,2,200,6.755,20.042
6,Expansion+Mat80,Expansion,1,63,16.706,18.497
7,Expansion,Expansion+Mat80,2,200,6.799,20.248
8,Expansion+Mat80,Expansion,1,63,16.932,18.559
9,Expansion,Expansion+Mat80,2,200,6.909,20.216
10,Expansion+Mat80,Expansion,1,63,16.958,18.477
1,Expansion,Expansion+Mat120,2,200,6.974,20.297
2,Expansion+Mat120,Expansion,1,63,16.692,18.556
3,Expansion,Expansion+Mat120,2,200,6.731,20.286
4,Expansion+Mat120,Expansion,1,63,16.606,18.181
5,Expansion,Expansion+Mat120,2,200,6.929,20.261
6,Expansion+Mat120,Expansion,1,63,16.730,18.607
7,Expansion,Expansion+Mat120,2,200,6.856,20.435
8,Expansion+Mat120,Expansion,1,63,17.013,18.350
9,Expansion,Expansion+Mat120,2,200,6.720,20.146
10,Expansion+Mat120,Expansion,1,63,17.045,18.726
1,Expansion,Material+Mat80,1,200,33.384,2.870
2,Material+Mat80,Expansion,1,200,6.746,4.443
3,Expansion,Material+Mat80,1,200,32.964,2.791
4,Material+Mat80,Expansion,1,200,6.761,4.551
5,Expansion,Material+Mat80,1,200,33.035,2.798
6,Material+Mat80,Expansion,1,200,6.606,4.325
7,Expansion,Material+Mat80,1,200,33.571,3.009
8,Material+Mat80,Expansion,1,200,6.603,4.373
9,Expansion,Material+Mat80,1,200,33.589,2.940
10,Material+Mat80,Expansion,1,200,6.697,4.218
1,Expansion,Material+Mat120,1,200,33.982,2.863
2,Material+Mat120,Expansion,1,200,6.671,4.271
3,Expansion,Material+Mat120,1,200,33.697,2.800
4,Material+Mat120,Expansion,1,200,6.638,4.246
5,Expansion,Material+Mat120,1,200,33.615,2.830
6,Material+Mat120,Expansion,1,200,6.469,4.349
7,Expansion,Material+Mat120,1,200,33.822,3.038
8,Material+Mat120,Expansion,1,200,6.546,4.264
9,Expansion,Material+Mat120,1,200,33.849,2.835
10,Material+Mat120,Expansion,1,200,6.498,4.243
1,Material,Hybrid+Mat80,1,200,5.675,7.494
2,Hybrid+Mat80,Material,2,60,14.979,9.610
3,Material,Hybrid+Mat80,1,200,5.644,7.499
4,Hybrid+Mat80,Material,2,60,14.739,9.546
5,Material,Hybrid+Mat80,1,200,5.395,7.197
6,Hybrid+Mat80,Material,2,60,15.380,9.747
7,Material,Hybrid+Mat80,1,200,5.412,7.254
8,Hybrid+Mat80,Material,2,60,15.207,9.884
9,Material,Hybrid+Mat80,1,200,5.480,7.329
10,Hybrid+Mat80,Material,2,60,15.036,9.928
1,Material,Hybrid+Mat120,1,200,5.550,7.450
2,Hybrid+Mat120,Material,2,60,15.120,9.969
3,Material,Hybrid+Mat120,1,200,5.391,7.258
4,Hybrid+Mat120,Material,2,60,15.165,10.037
5,Material,Hybrid+Mat120,1,200,5.477,7.445
6,Hybrid+Mat120,Material,2,60,14.645,9.585
7,Material,Hybrid+Mat120,1,200,5.548,7.458
8,Hybrid+Mat120,Material,2,60,14.709,9.616
9,Material,Hybrid+Mat120,1,200,5.547,7.486
10,Hybrid+Mat120,Material,2,60,14.757,9.596
1,Material,Expansion+Mat80,1,200,8.834,3.807
2,Expansion+Mat80,Material,1,200,29.903,3.043
3,Material,Expansion+Mat80,1,200,8.723,3.885
4,Expansion+Mat80,Material,1,200,30.224,2.989
5,Material,Expansion+Mat80,1,200,8.684,3.891
