Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Material,Mobility,1,65,16.691,96.471
2,Mobility,Material,1,63,89.163,13.329
3,Material,Mobility,1,65,17.093,100.524
4,Mobility,Material,1,63,88.792,13.100
5,Material,Mobility,1,65,17.614,100.428
6,Mobility,Material,1,63,87.718,13.128
7,Material,Mobility,1,65,17.442,101.588
8,Mobility,Material,1,63,88.610,13.106
9,Material,Mobility,1,65,17.074,99.812
10,Mobility,Material,1,63,88.714,12.850
1,Material,CenterControl,1,200,8.885,3.329
2,CenterControl,Material,2,67,7.760,10.733
3,Material,CenterControl,1,200,9.286,3.394
4,CenterControl,Material,2,67,7.814,10.735
5,Material,CenterControl,1,200,9.095,3.410
6,CenterControl,Material,2,67,7.700,10.684
7,Material,CenterControl,1,200,8.978,3.492
8,CenterControl,Material,2,67,7.789,10.657
9,Material,CenterControl,1,200,9.162,3.335
10,CenterControl,Material,2,67,7.876,11.094
1,Material,InfectionPressure,1,57,12.004,15.327
2,InfectionPressure,Material,2,200,6.815,14.365
3,Material,InfectionPressure,1,57,12.297,15.481
4,InfectionPressure,Material,2,200,6.863,14.208
5,Material,InfectionPressure,1,57,12.112,15.577
6,InfectionPressure,Material,2,200,6.839,14.415
7,Material,InfectionPressure,1,57,11.947,15.125
8,InfectionPressure,Material,2,200,7.015,14.439
9,Material,InfectionPressure,1,57,11.779,15.035
10,InfectionPressure,Material,2,200,7.079,14.296
1,Material,Expansion,1,200,6.248,4.144
2,Expansion,Material,1,200,32.585,2.654
3,Material,Expansion,1,200,6.276,4.078
4,Expansion,Material,1,200,32.741,2.910
5,Material,Expansion,1,200,6.299,4.127
6,Expansion,Material,1,200,32.485,2.688
7,Material,Expansion,1,200,6.156,4.132
8,Expansion,Material,1,200,32.191,2.640
9,Material,Expansion,1,200,6.429,4.240
10,Expansion,Material,1,200,32.128,2.629
1,Material,Hybrid,2,200,5.001,23.354
2,Hybrid,Material,1,69,17.340,8.818
3,Material,Hybrid,2,200,5.143,23.986
4,Hybrid,Material,1,69,18.198,9.100
5,Material,Hybrid,2,200,5.179,23.586
6,Hybrid,Material,1,69,17.465,8.794
7,Material,Hybrid,2,200,5.064,23.674
8,Hybrid,Material,1,69,17.291,8.798
9,Material,Hybrid,2,200,5.033,23.469
10,Hybrid,Material,1,69,17.256,8.807
1,Mobility,CenterControl,1,200,66.661,3.644
2,CenterControl,Mobility,2,64,5.768,35.250
3,Mobility,CenterControl,1,200,66.878,3.638
4,CenterControl,Mobility,2,64,5.922,34.896
5,Mobility,CenterControl,1,200,66.110,3.824
6,CenterControl,Mobility,2,64,5.777,34.422
7,Mobility,CenterControl,1,200,65.861,3.679
8,CenterControl,Mobility,2,64,5.826,35.123
9,Mobility,CenterControl,1,200,66.254,3.745
10,CenterControl,Mobility,2,64,5.766,34.489
1,Mobility,InfectionPressure,1,59,84.582,28.217
2,InfectionPressure,Mobility,1,67,17.303,64.887
3,Mobility,InfectionPressure,1,59,84.873,28.445
4,InfectionPressure,Mobility,1,67,17.374,64.793
5,Mobility,InfectionPressure,1,59,84.227,28.255
6,InfectionPressure,Mobility,1,67,17.353,65.381
7,Mobility,InfectionPressure,1,59,85.436,29.533
8,InfectionPressure,Mobility,1,67,17.397,65.715
9,Mobility,InfectionPressure,1,59,84.067,28.197
10,InfectionPressure,Mobility,1,67,17.623,65.145
