Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Material,Hybrid+Mat50,2,200,4.770,22.486
2,Hybrid+Mat50,Material,1,69,17.200,8.756
3,Material,Hybrid+Mat50,2,200,4.810,22.455
4,Hybrid+Mat50,Material,1,69,16.800,8.482
5,Material,Hybrid+Mat50,2,200,4.851,22.561
6,Hybrid+Mat50,Material,1,69,16.959,8.589
7,Material,Hybrid+Mat50,2,200,5.265,23.352
8,Hybrid+Mat50,Material,1,69,16.895,8.544
9,Material,Hybrid+Mat50,2,200,4.800,22.485
10,Hybrid+Mat50,Material,1,69,16.911,8.502
1,Material,Hybrid+Mat60,2,200,4.825,22.613
2,Hybrid+Mat60,Material,1,59,12.391,7.841
3,Material,Hybrid+Mat60,2,200,4.883,22.519
4,Hybrid+Mat60,Material,1,59,12.724,7.955
5,Material,Hybrid+Mat60,2,200,4.710,22.438
6,Hybrid+Mat60,Material,1,59,12.432,7.835
7,Material,Hybrid+Mat60,2,200,4.838,22.469
8,Hybrid+Mat60,Material,1,59,12.803,8.176
9,Material,Hybrid+Mat60,2,200,4.751,22.414
10,Hybrid+Mat60,Material,1,59,12.322,7.770
1,PotentialConversion,Hybrid+Mat20,1,200,19.561,8.222
2,Hybrid+Mat20,PotentialConversion,1,65,17.387,9.452
3,PotentialConversion,Hybrid+Mat20,1,200,19.788,8.251
4,Hybrid+Mat20,PotentialConversion,1,65,17.311,9.471
5,PotentialConversion,Hybrid+Mat20,1,200,19.584,8.282
6,Hybrid+Mat20,PotentialConversion,1,65,17.696,9.639
7,PotentialConversion,Hybrid+Mat20,1,200,19.699,8.350
8,Hybrid+Mat20,PotentialConversion,1,65,17.442,9.458
9,PotentialConversion,Hybrid+Mat20,1,200,19.505,8.211
10,Hybrid+Mat20,PotentialConversion,1,65,17.536,9.548
1,PotentialConversion,Hybrid+Mat30,1,200,18.918,7.260
2,Hybrid+Mat30,PotentialConversion,1,69,17.087,9.932
3,PotentialConversion,Hybrid+Mat30,1,200,18.888,7.246
4,Hybrid+Mat30,PotentialConversion,1,69,17.036,9.907
5,PotentialConversion,Hybrid+Mat30,1,200,18.906,7.248
6,Hybrid+Mat30,PotentialConversion,1,69,17.160,9.945
7,PotentialConversion,Hybrid+Mat30,1,200,18.913,7.226
8,Hybrid+Mat30,PotentialConversion,1,69,17.466,10.067
9,PotentialConversion,Hybrid+Mat30,1,200,18.920,7.267
10,Hybrid+Mat30,PotentialConversion,1,69,17.151,9.917
1,PotentialConversion,Hybrid+Mat40,2,200,5.296,22.449
2,Hybrid+Mat40,PotentialConversion,1,69,16.948,9.951
3,PotentialConversion,Hybrid+Mat40,2,200,5.312,22.372
4,Hybrid+Mat40,PotentialConversion,1,69,17.038,9.962
5,PotentialConversion,Hybrid+Mat40,2,200,5.275,22.360
6,Hybrid+Mat40,PotentialConversion,1,69,17.037,9.996
7,PotentialConversion,Hybrid+Mat40,2,200,5.304,22.484
8,Hybrid+Mat40,PotentialConversion,1,69,16.957,9.892
9,PotentialConversion,Hybrid+Mat40,2,200,5.320,22.436
10,Hybrid+Mat40,PotentialConversion,1,69,17.085,10.003
1,PotentialConversion,Hybrid+Mat50,2,200,5.291,22.508
2,Hybrid+Mat50,PotentialConversion,1,69,16.806,10.031
3,PotentialConversion,Hybrid+Mat50,2,200,5.390,22.342
4,Hybrid+Mat50,PotentialConversion,1,69,16.822,10.043
