Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
7,Expansion+Mat80,Expansion+Mat120+Mat100,1,71,31.362,23.521
8,Expansion+Mat120+Mat100,Expansion+Mat80,1,71,31.513,23.842
9,Expansion+Mat80,Expansion+Mat120+Mat100,1,71,31.081,23.703
10,Expansion+Mat120+Mat100,Expansion+Mat80,1,71,31.507,23.543
1,Expansion+Mat80,Expansion+Mat80+Mat100,1,71,31.279,23.616
2,Expansion+Mat80+Mat100,Expansion+Mat80,1,71,31.145,23.630
3,Expansion+Mat80,Expansion+Mat80+Mat100,1,71,31.258,23.481
4,Expansion+Mat80+Mat100,Expansion+Mat80,1,71,31.312,23.701
5,Expansion+Mat80,Expansion+Mat80+Mat100,1,71,31.021,23.611
6,Expansion+Mat80+Mat100,Expansion+Mat80,1,71,31.736,23.879
7,Expansion+Mat80,Expansion+Mat80+Mat100,1,71,31.237,23.524
8,Expansion+Mat80+Mat100,Expansion+Mat80,1,71,31.486,23.601
9,Expansion+Mat80,Expansion+Mat80+Mat100,1,71,30.964,23.462
10,Expansion+Mat80+Mat100,Expansion+Mat80,1,71,31.535,23.760
1,Expansion+Mat80,Hybrid+Mat100,1,63,17.938,13.903
2,Hybrid+Mat100,Expansion+Mat80,1,200,26.408,6.657
3,Expansion+Mat80,Hybrid+Mat100,1,63,17.977,14.085
4,Hybrid+Mat100,Expansion+Mat80,1,200,26.473,6.670
5,Expansion+Mat80,Hybrid+Mat100,1,63,17.839,13.869
6,Hybrid+Mat100,Expansion+Mat80,1,200,26.637,6.854
7,Expansion+Mat80,Hybrid+Mat100,1,63,18.184,14.142
8,Hybrid+Mat100,Expansion+Mat80,1,200,26.183,6.728
9,Expansion+Mat80,Hybrid+Mat100,1,63,18.315,14.077
10,Hybrid+Mat100,Expansion+Mat80,1,200,26.554,6.594
1,Expansion+Mat80,Material+Mat100,1,200,29.703,3.031
2,Material+Mat100,Expansion+Mat80,1,200,8.753,3.803
3,Expansion+Mat80,Material+Mat100,1,200,29.716,3.015
4,Material+Mat100,Expansion+Mat80,1,200,8.659,3.663
5,Expansion+Mat80,Material+Mat100,1,200,30.066,3.096
6,Material+Mat100,Expansion+Mat80,1,200,8.648,3.618
7,Expansion+Mat80,Material+Mat100,1,200,29.373,2.971
8,Material+Mat100,Expansion+Mat80,1,200,8.905,3.936
9,Expansion+Mat80,Material+Mat100,1,200,29.223,2.937
10,Material+Mat100,Expansion+Mat80,1,200,9.011,3.854
1,Hybrid,Material,1,69,17.866,9.124
2,Material,Hybrid,2,200,5.257,23.801
3,Hybrid,Material,1,69,17.882,9.155
4,Material,Hybrid,2,200,5.150,23.790
5,Hybrid,Material,1,69,17.726,8.992
6,Material,Hybrid,2,200,5.170,24.016
7,Hybrid,Material,1,69,17.724,9.073
